year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes
2004,Jelaing Mersat,BN,SPDP,11995,72.94010337488598,205,SARATOK,Sarawak,1,16445
2004,Edmond Stanley Jugol,,SNAP,4450,27.059896625114018,205,SARATOK,Sarawak,0,16445
2004,Law Hieng Ding,BN,SUPP,15485,70.70130581682038,207,SARIKEI,Sarawak,1,21902
2004,Ngu Tieng Hai,,IND,3886,17.742671902109397,207,SARIKEI,Sarawak,0,21902
2004,Ling Bit Tiing,,IND,1667,7.6111770614555745,207,SARIKEI,Sarawak,0,21902
2004,Junak Jawek,,IND,864,3.944845219614647,207,SARIKEI,Sarawak,0,21902
2004,Joseph Salang Gandum,BN,PBDS,8388,59.54003407155025,208,JULAU,Sarawak,1,14088
2004,Ambrose Labang Jamba,,IND,5700,40.45996592844975,208,JULAU,Sarawak,0,14088
2004,Aaron Ago Dagang,BN,PBDS,6438,59.50642388390794,209,KANOWIT,Sarawak,1,10819
2004,Frederick Bungsu Jantan,,IND,4381,40.49357611609206,209,KANOWIT,Sarawak,0,10819
2004,Tiong Thai King,BN,PBDS,14895,59.41601180741154,210,LANANG,Sarawak,1,25069
2004,David Wong Kee Woan,,DAP,10174,40.58398819258846,210,LANANG,Sarawak,0,25069
2004,Robert Lau Hoi Chew,BN,SUPP,20501,54.43417768573097,211,SIBU,Sarawak,1,37662
2004,Wong Ho Leng,,DAP,17161,45.56582231426903,211,SIBU,Sarawak,0,37662
2004,Muhammad Leo Michael Toyad Abdullah,BN,PBB,11829,81.69198895027624,212,MUKAH,Sarawak,1,14480
2004,Mohamad @ Latip Rahman,,IND,2651,18.308011049723756,212,MUKAH,Sarawak,0,14480
2004,Joseph Entulu Belaun,BN,PBB,7876,64.89782465392221,213,SELANGAU,Sarawak,1,12136
2004,Liman Sujang,,SNAP,4260,35.102175346077786,213,SELANGAU,Sarawak,0,12136
2004,Alexander Nanta Linggi,BN,PBB,0,0.0,214,KAPIT,Sarawak,1,0
2004,Tiong King Sing,BN,SPDP,20225,63.66870238619908,216,BINTULU,Sarawak,1,31766
2004,Chiew Chiu Sing,,DAP,8958,28.199962223761254,216,BINTULU,Sarawak,0,31766
2004,Lau Hing Kii,,SNAP,2583,8.131335390039665,216,BINTULU,Sarawak,0,31766
2004,Peter Chin Fah Kui,BN,SUPP,0,0.0,217,MIRI,Sarawak,1,0
2004,Jacob Dungau Sagan,BN,SPDP,7551,100.0,218,BARAM,Sarawak,1,7551
2008,DATUK SERI RADZI SHEIKH AHMAD,BN,UMNO,23821,70.12157428394808,002,KANGAR,Perlis,1,33971
2008,TUNKU ABDUL RAHMAN TUNKU ISMAIL,PR,PKR,10150,29.878425716051925,002,KANGAR,Perlis,0,33971
