,year,name,coalition,party_code,votes,vote_share,parliament_code_digits,constituency,state,winner,total_votes,gender,results_added,coal_or_party
541,2022,HANIF IBRAHIM,GTA,PUTRA,0,0,026,KETEREH,Kelantan,0,0,F,0,PUTRA
542,2022,RAMLI MOHD NOR,BN,UMNO,0,0,078,CAMERON HIGHLANDS,Pahang,0,0,F,0,BN
543,2022,ABDUL RASID MOHAMED,PN,BERSATU,0,0,078,CAMERON HIGHLANDS,Pahang,0,0,F,0,PN
544,2022,CHIONG YOKE KONG,PH,DAP,0,0,078,CAMERON HIGHLANDS,Pahang,0,0,F,0,DAP
545,2022,AUZAIE FADZLAN SHAHIDI,GTA,BERJASA,0,0,056,LARUT,Perak,0,0,F,0,GTA
546,2022,ZOLKARNAIN ABIDIN,PH,AMANAH,0,0,056,LARUT,Perak,0,0,F,0,PH
547,2022,MOHD SHARIQ FHADLY MAHMUD,BN,UMNO,0,0,056,LARUT,Perak,0,0,F,0,BN
548,2022,HAMZAH ZAINUDIN,PN,BERSATU,0,0,056,LARUT,Perak,0,0,F,0,PN
549,2022,K SARASWATHY,PH,PKR,0,0,072,TAPAH,Perak,0,0,M,0,PH
550,2022,MUHAMMAD YADZAN MOHAMMAD,PN,BERSATU,0,0,072,TAPAH,Perak,0,0,F,0,PN
551,2022,MOHAMED AKBAR SHERRIF ALI YASIN,,WARISAN,0,0,072,TAPAH,Perak,0,0,F,0,WARISAN
552,2022,M SARAVANAN,BN,MIC,0,0,072,TAPAH,Perak,0,0,F,0,BN
553,2022,M KATHIRAVAN,,IND,0,0,072,TAPAH,Perak,0,0,F,0,BEBAS
554,2022,MIOR NOR HAIDIR SUHAIMI,GTA,PEJUANG,0,0,072,TAPAH,Perak,0,0,F,0,PEJUANG
555,2022,AZLINDA BARONI,,IND,0,0,094,HULU SELANGOR,Selangor,0,0,M,0,BEBAS
556,2022,T MOHAN,BN,MIC,0,0,094,HULU SELANGOR,Selangor,0,0,F,0,BN
557,2022,HARUMAINI OMAR,GTA,PEJUANG,0,0,094,HULU SELANGOR,Selangor,0,0,F,0,PEJUANG
558,2022,SATHIA PRAKASH NADARAJAN,PH,PKR,0,0,094,HULU SELANGOR,Selangor,0,0,F,0,PH
559,2022,HANIZA TALHA,,PBM,0,0,094,HULU SELANGOR,Selangor,0,0,M,0,PBM
560,2022,MOHD HASNIZAN HARUN,PN,PAS,0,0,094,HULU SELANGOR,Selangor,0,0,F,0,PAS
561,2022,TAN CHUAN HONG,BN,MCA,0,0,043,BAGAN,Penang,0,0,F,0,BN
562,2022,LIM GUAN ENG,PH,DAP,0,0,043,BAGAN,Penang,0,0,F,0,DAP
563,2022,ALAN OH TEIK CHOON,PN,BERSATU,0,0,043,BAGAN,Penang,0,0,F,0,PN
564,2022,MOHAMMED HAFIZ MOHAMED ABU BAKAR,GTA,IMAN,0,0,043,BAGAN,Penang,0,0,F,0,GTA
565,2022,SHAHRUL AMRI MAT SARI,,IND,0,0,113,SEPANG,Selangor,0,0,F,0,BEBAS
566,2022,CHE ASMAH IBRAHIM,GTA,PEJUANG,0,0,113,SEPANG,Selangor,0,0,M,0,PEJUANG
567,2022,DAUD LEONG,,PUR,0,0,113,SEPANG,Selangor,0,0,F,0,PUR
568,2022,RAJ MUNNI @ AIMAN ATHIRAH,PH,AMANAH,0,0,113,SEPANG,Selangor,0,0,M,0,PH
569,2022,M MUNESWARAN,,IND,0,0,113,SEPANG,Selangor,0,0,F,0,BEBAS
570,2022,RINA HARUN,PN,BERSATU,0,0,113,SEPANG,Selangor,0,0,M,0,PN
571,2022,ANUAR BASIRAN,BN,UMNO,0,0,113,SEPANG,Selangor,0,0,F,0,BN
572,2022,R NAGESWARAN,,PRM,0,0,113,SEPANG,Selangor,0,0,F,0,PRM
573,2022,MOHAMMED TAUFIK JOHARI,PH,PKR,0,0,015,SUNGAI PETANI,Kedah,0,0,F,0,PH
574,2022,TAN CHOW KANG,,PRM,0,0,015,SUNGAI PETANI,Kedah,0,0,F,0,PRM
575,2022,MARZUKI YAHYA,GTA,PEJUANG,0,0,015,SUNGAI PETANI,Kedah,0,0,F,0,PEJUANG
576,2022,ROBERT LING KUI EE,PN,BERSATU,0,0,015,SUNGAI PETANI,Kedah,0,0,F,0,PN
577,2022,SHAHANIM MOHAMAD YUSOFF,BN,UMNO,0,0,015,SUNGAI PETANI,Kedah,0,0,M,0,BN
578,2022,MOHD SHARKAR SHAMSUDIN,BN,UMNO,0,0,088,TEMERLOH,Pahang,0,0,F,0,BN
579,2022,SALAMIAH MOHD NOR,PN,PAS,0,0,088,TEMERLOH,Pahang,0,0,M,0,PAS
580,2022,MOHD HASBIE MUDA,PH,AMANAH,0,0,088,TEMERLOH,Pahang,0,0,F,0,PH
581,2022,AMINUDDIN YAHAYA,GTA,DIRECT,0,0,088,TEMERLOH,Pahang,0,0,F,0,GTA
582,2022,LEE KAH HING,BN,MCA,0,0,122,SEPUTEH,KL,0,0,F,0,BN
583,2022,ALAN WONG YEE YENG,PN,GERAKAN,0,0,122,SEPUTEH,KL,0,0,F,0,PN
584,2022,CHOY SAN YEH,,IND,0,0,122,SEPUTEH,KL,0,0,M,0,BEBAS
585,2022,TERESA KOK SUH SIM,PH,DAP,0,0,122,SEPUTEH,KL,0,0,M,0,DAP
586,2022,LEE WAI HONG,,IND,0,0,122,SEPUTEH,KL,0,0,F,0,BEBAS
587,2022,KAMARULZAMAN KAMDIAS,GTA,PUTRA,0,0,129,KUALA PILAH,Negeri Sembilan,0,0,F,0,PUTRA
588,2022,EDDIN SYAZLEE SHITH,PN,BERSATU,0,0,129,KUALA PILAH,Negeri Sembilan,0,0,F,0,PN
589,2022,AZMAN BIN IDRIS,,WARISAN,0,0,129,KUALA PILAH,Negeri Sembilan,0,0,F,0,WARISAN
590,2022,NOR AZMAN MOHAMAD,PH,PKR,0,0,129,KUALA PILAH,Negeri Sembilan,0,0,F,0,PH
591,2022,ADNAN ABU HASSAN,BN,UMNO,0,0,129,KUALA PILAH,Negeri Sembilan,0,0,F,0,BN
592,2022,ADAM ADLI,PH,PKR,0,0,137,HANG TUAH JAYA,Melaka,0,0,F,0,PH
593,2022,SHEIKH IKHZAN SHEIKH SALLEH,GTA,PEJUANG,0,0,137,HANG TUAH JAYA,Melaka,0,0,F,0,PEJUANG
594,2022,MOHD RIDHWAN MOHD ALI,BN,UMNO,0,0,137,HANG TUAH JAYA,Melaka,0,0,F,0,BN
595,2022,MOHD AZRUDIN MD IDRIS,PN,BERSATU,0,0,137,HANG TUAH JAYA,Melaka,0,0,F,0,PN
596,2022,ONN ABU BAKAR,PH,PKR,0,0,150,BATU PAHAT,Johor,0,0,F,0,PH
597,2022,ZAHARI OSMAN,,PRM,0,0,150,BATU PAHAT,Johor,0,0,F,0,PRM
598,2022,ISHAK @ MOHD FARID SIRAJ,BN,UMNO,0,0,150,BATU PAHAT,Johor,0,0,F,0,BN
599,2022,NIZAM BASHIR ABDUL KARIEM BASHIR,GTA,PEJUANG,0,0,150,BATU PAHAT,Johor,0,0,F,0,PEJUANG
600,2022,RASHID HASNON,PN,BERSATU,0,0,150,BATU PAHAT,Johor,0,0,F,0,PN
601,2022,CHUA JIAN BOON,BN,MCA,0,0,163,KULAI,Johor,0,0,F,0,BN
602,2022,TEO NIE CHING,PH,DAP,0,0,163,KULAI,Johor,0,0,M,0,DAP
603,2022,TAN CHIN HOCK,PN,GERAKAN,0,0,163,KULAI,Johor,0,0,F,0,PN
604,2022,ROSLI AB GHANI,GTA,PEJUANG,0,0,040,KEMAMAN,Terengganu,0,0,F,0,PEJUANG
605,2022,CHE ALIAS HAMID,PN,PAS,0,0,040,KEMAMAN,Terengganu,0,0,F,0,PAS
606,2022,AHMAD SAID,BN,UMNO,0,0,040,KEMAMAN,Terengganu,0,0,F,0,BN
607,2022,HASUNI SUDIN,PH,PKR,0,0,040,KEMAMAN,Terengganu,0,0,F,0,PH
608,2022,JOHARI ABDULLAH,PH,AMANAH,0,0,016,BALING,Kedah,0,0,F,0,PH
