,parliament_type,state,seat_name,seat_id,parliament_code,name,party
148,states,PERAK,KERANJI,07042,N.42,PUAH CHEE HAUR,PARTI WARISAN SABAH (WARISAN)
149,states,PERAK,KERANJI,07042,N.42,NG WAH LENG,BARISAN NASIONAL (BN)
150,states,PERAK,TUALANG SEKAH,07043,N.43,PAZLI ABDULLAH SANI,PERIKATAN NASIONAL (PN)
151,states,PERAK,TUALANG SEKAH,07043,N.43,AZLAN HELMI,PAKATAN HARAPAN (PH)
152,states,PERAK,TUALANG SEKAH,07043,N.43,DATUK ABD RAHMAN,BARISAN NASIONAL (BN)
153,states,PERAK,SUNGAI RAPAT,07144,N.44,DATUK HANG TUAH DIN,BARISAN NASIONAL (BN)
154,states,PERAK,SUNGAI RAPAT,07144,N.44,ROSHANITA BINTI MOHAMAD BASIR,PARTI WARISAN SABAH (WARISAN)
155,states,PERAK,SUNGAI RAPAT,07144,N.44,DATO SERI NIZAR,PAKATAN HARAPAN (PH)
156,states,PERAK,SUNGAI RAPAT,07144,N.44,MAHADER AYOB,PERIKATAN NASIONAL (PN)
157,states,PERAK,SIMPANG PULAI,07145,N.45,K.SELVAM,PERIKATAN NASIONAL (PN)
158,states,PERAK,SIMPANG PULAI,07145,N.45,IR. DR. WAYNE LEE,BARISAN NASIONAL (BN)
159,states,PERAK,SIMPANG PULAI,07145,N.45,HOOI MI SUET,PARTI WARISAN SABAH (WARISAN)
160,states,PERAK,SIMPANG PULAI,07145,N.45,WONG CHAI YI,PAKATAN HARAPAN (PH)
161,states,PERAK,TEJA,07146,N.46,LOW LEONG SIN,PARTI WARISAN SABAH (WARISAN)
162,states,PERAK,TEJA,07146,N.46,ASWANNUDIN BIN HARIFFUDIN,PARTI PEJUANG TANAHAIR (PEJUANG)
163,states,PERAK,TEJA,07146,N.46,SANDREA NG,PAKATAN HARAPAN (PH)
164,states,PERAK,TEJA,07146,N.46,LIEW YEE LIN,BARISAN NASIONAL (BN)
165,states,PERAK,TEJA,07146,N.46,AHMAD ISHAK,PERIKATAN NASIONAL (PN)
166,states,PERAK,CHENDERIANG,07247,N.47,MEJAR BERSEKUTU (PA) MHOD YUNUS BIN MHD YUSOP,PERIKATAN NASIONAL (PN)
167,states,PERAK,CHENDERIANG,07247,N.47,CHOONG SHIN HENG,BARISAN NASIONAL (BN)
168,states,PERAK,CHENDERIANG,07247,N.47,AHMAD TARMIZI BIN MOHD GHAZALI,PARTI WARISAN SABAH (WARISAN)
169,states,PERAK,CHENDERIANG,07247,N.47,ATAN KATERING,BEBAS (POKOK)
170,states,PERAK,CHENDERIANG,07247,N.47,MOHD. AMIN BIN MAN,PARTI PEJUANG TANAHAIR (PEJUANG)
171,states,PERAK,CHENDERIANG,07247,N.47,TERATAI A/P BAH AROM (ASLI SEMAI),BEBAS (RUMAH)
172,states,PERAK,CHENDERIANG,07247,N.47,ATYRAH HANIM,PAKATAN HARAPAN (PH)
173,states,PERAK,AYER KUNING,07248,N.48,HAJI ISHSAM HAJI SHAHRUDDIN,BARISAN NASIONAL (BN)
174,states,PERAK,AYER KUNING,07248,N.48,MEJ (DR) MOHD NAZRI HASHIM (B),PAKATAN HARAPAN (PH)
175,states,PERAK,AYER KUNING,07248,N.48,USTAZ FARID,PERIKATAN NASIONAL (PN)
176,states,PERAK,AYER KUNING,07248,N.48,MAZIAH BINTI SALIM,PARTI PEJUANG TANAHAIR (PEJUANG)
177,states,PERAK,AYER KUNING,07248,N.48,BAWANI KS,PARTI SOSIALIS MALAYSIA (PSM)
178,states,PERAK,SUNGAI MANIK,07349,N.49,ZAINOL FADZI PAHARUDIN,PERIKATAN NASIONAL (PN)
179,states,PERAK,SUNGAI MANIK,07349,N.49,CIKGU MAHA,PAKATAN HARAPAN (PH)
180,states,PERAK,SUNGAI MANIK,07349,N.49,DATO HJ. IBRAHIM BIN KATOP,BARISAN NASIONAL (BN)
181,states,PERAK,KAMPONG GAJAH,07350,N.50,ZAFARULAZHAN BIN ZAN,PERIKATAN NASIONAL (PN)
182,states,PERAK,KAMPONG GAJAH,07350,N.50,DATUK DR WAN NORASHIKIN BINTI WAN NOORDIN,BARISAN NASIONAL (BN)
183,states,PERAK,KAMPONG GAJAH,07350,N.50,MOHD SAFIAN SAURI BIN PANDAK ABD SAMAD,PARTI PEJUANG TANAHAIR (PEJUANG)
184,states,PERAK,KAMPONG GAJAH,07350,N.50,MOHD SYAMSUL BIN ALAUDDIN,PAKATAN HARAPAN (PH)
185,states,PERAK,PASIR PANJANG,07451,N.51,HJ. MOHD RAFIQ BIN MOHD,BARISAN NASIONAL (BN)
186,states,PERAK,PASIR PANJANG,07451,N.51,NUR INDERASYAWALIS BIN AHMAD MUKHTAR,PARTI WARISAN SABAH (WARISAN)
187,states,PERAK,PASIR PANJANG,07451,N.51,CIKGU YAHAYA,PAKATAN HARAPAN (PH)
