,party_code,name,votes,majority,year,state,constituency,parliament_code_digits,NameBallot,winner,total_votes,vote_share
18,PAS,DATUK KAMARUDIN JAAFAR,27919,1820.0,2004,Kelantan,TUMPAT,019,,1,54018,51.684623643970525
19,UMNO,MAT NAWAWI MAT JUSOH,26099,0.0,2004,Kelantan,TUMPAT,019,,0,54018,48.315376356029475
20,UMNO,DATUK DR AWANG ADEK HUSSIN,25194,3272.0,2004,Kelantan,BACHOK,025,,1,47116,53.472281178368284
21,PAS,WAN NIK WAN YUSOF,21922,0.0,2004,Kelantan,BACHOK,025,,0,47116,46.527718821631716
22,UMNO,MD ALWI CHE AHMAD,20024,2888.0,2004,Kelantan,KETEREH,026,,1,37160,53.88589881593111
23,PKR,MUAMAD MUSTAFA,17136,0.0,2004,Kelantan,KETEREH,026,,0,37160,46.11410118406889
24,UMNO,SAZMI MIAH,17464,135.0,2004,Kelantan,MACHANG,029,,1,34793,50.194004541143336
25,PAS,MOHD YUSOF MOHD NOOR,17329,0.0,2004,Kelantan,MACHANG,029,,0,34793,49.805995458856664
26,UMNO,DATUK MUSTAPA MOHAMED,16960,7353.0,2004,Kelantan,JELI,030,,1,26567,63.83859675537321
27,PAS,MOHD APANDI MOHAMED,9607,0.0,2004,Kelantan,JELI,030,,0,26567,36.16140324462679
28,UMNO,PROF DATUK DR ABDULLAH MOHD ZIN,26087,8500.0,2004,Terengganu,BESUT,033,,1,43674,59.73119018180153
29,PAS,NASHARUDIN MAT ISA,17587,0.0,2004,Terengganu,BESUT,033,,0,43674,40.26880981819847
30,UMNO,MOHD YUSOF MAJID,23079,6696.0,2004,Terengganu,SETIU,034,,1,39462,58.484111296943894
31,PAS,CHE GHANI CHE AMBAK,16383,0.0,2004,Terengganu,SETIU,034,,0,39462,41.515888703056106
32,UMNO,DATUK ABDUL RAHMAN BAKAR,28076,163.0,2004,Terengganu,MARANG,037,,1,55989,50.14556430727464
33,PAS,DATUK SERI ABDUL HADI AWANG,27913,0.0,2004,Terengganu,MARANG,037,,0,55989,49.85443569272536
34,UMNO,DATUK ROSLI MAT HASSAN,26398,4896.0,2004,Terengganu,DUNGUN,039,,1,47900,55.110647181628394
35,PAS,DATUK MUSTAFA ALI,21502,0.0,2004,Terengganu,DUNGUN,039,,0,47900,44.889352818371606
36,UMNO,AHMAD SHABERY CHIK,36517,15882.0,2004,Terengganu,KEMAMAN,040,,1,57152,63.89452687569989
37,PKR,ABDL RAHMAN YUSOF,20635,0.0,2004,Terengganu,KEMAMAN,040,,0,57152,36.10547312430011
38,DAP,LIM HOCK SENG,23095,3622.0,2004,Penang,BAGAN,043,,1,42568,54.254369479421165
39,MCA,LIM CHIEN AUN,19473,0.0,2004,Penang,BAGAN,043,,0,42568,45.745630520578835
40,DAP,CHOW KON YEOW,21652,4228.0,2004,Penang,TANJONG,049,,1,39076,55.40997031425939
41,GERAKAN,OOI SWEE HING,17424,0.0,2004,Penang,TANJONG,049,,0,39076,44.59002968574061
42,GERAKAN,LEE KAH CHOON,24988,7470.0,2004,Penang,JELUTONG,050,,1,42506,58.78699477720792
43,DAP,GOOI SEONG KIN,17518,0.0,2004,Penang,JELUTONG,050,,0,42506,41.21300522279208
44,UMNO,DATUK DR WAN HASHIM WAN TEH,12293,8080.0,2004,Perak,GRIK,054,,1,33012,37.237974070035136
45,UMNO,DATUK DR WAN HASHIM WAN TEH,12293,8080.0,2004,Perak,GRIK,054,,1,33012,37.237974070035136
